ID,Label,Image Path
0,[5],./images/0.jpg
1,[2],./images/1.jpg
2,[0],./images/2.jpg
3,[5],./images/3.jpg
4,[2],./images/4.jpg
5,[5],./images/5.jpg
6,[0],./images/6.jpg
7,[0],./images/7.jpg
8,[5],./images/8.jpg
9,[0],./images/9.jpg
10,[5],./images/10.jpg
11,[0],./images/11.jpg
12,[0],./images/12.jpg
13,[5],./images/13.jpg
14,[0],./images/14.jpg
15,[5],./images/15.jpg
16,[0],./images/16.jpg
17,[5],./images/17.jpg
18,[5],./images/18.jpg
19,[0],./images/19.jpg
20,[0],./images/20.jpg
21,[5],./images/21.jpg
22,[5],./images/22.jpg
23,[5],./images/23.jpg
24,[0],./images/24.jpg
25,[5],./images/25.jpg
26,[5],./images/26.jpg
27,[0],./images/27.jpg
28,[5],./images/28.jpg
29,[3],./images/29.jpg
30,[5],./images/30.jpg
31,[5],./images/31.jpg
32,[5],./images/32.jpg
33,[5],./images/33.jpg
34,[5],./images/34.jpg
35,[5],./images/35.jpg
36,[5],./images/36.jpg
37,[5],./images/37.jpg
38,[5],./images/38.jpg
39,[0],./images/39.jpg
40,[5],./images/40.jpg
41,[0],./images/41.jpg
42,[5],./images/42.jpg
43,[3],./images/43.jpg
44,[5],./images/44.jpg
45,[5],./images/45.jpg
46,[3],./images/46.jpg
47,[5],./images/47.jpg
48,[0],./images/48.jpg
49,[3],./images/49.jpg
50,[5],./images/50.jpg
51,[5],./images/51.jpg
52,[0],./images/52.jpg
53,[2],./images/53.jpg
54,[0],./images/54.jpg
55,[0],./images/55.jpg
56,[5],./images/56.jpg
57,[5],./images/57.jpg
58,[0],./images/58.jpg
59,[0],./images/59.jpg
60,[2],./images/60.jpg
61,[0],./images/61.jpg
62,[3],./images/62.jpg
63,[0],./images/63.jpg
64,[0],./images/64.jpg
65,[5],./images/65.jpg
66,[0],./images/66.jpg
67,[5],./images/67.jpg
68,[0],./images/68.jpg
69,[5],./images/69.jpg
70,[5],./images/70.jpg
71,[5],./images/71.jpg
72,[0],./images/72.jpg
73,[5],./images/73.jpg
74,[5],./images/74.jpg
75,[0],./images/75.jpg
76,[0],./images/76.jpg
77,[5],./images/77.jpg
78,[9],./images/78.jpg
79,[5],./images/79.jpg
80,[5],./images/80.jpg
81,[5],./images/81.jpg
82,[5],./images/82.jpg
83,[5],./images/83.jpg
84,[5],./images/84.jpg
85,[0],./images/85.jpg
86,[5],./images/86.jpg
87,[6],./images/87.jpg
88,[0],./images/88.jpg
89,[0],./images/89.jpg
90,[0],./images/90.jpg
91,[0],./images/91.jpg
92,[0],./images/92.jpg
93,[5],./images/93.jpg
94,[5],./images/94.jpg
95,[5],./images/95.jpg
96,[9],./images/96.jpg
97,[0],./images/97.jpg
98,[5],./images/98.jpg
99,[0],./images/99.jpg
100,[5],./images/100.jpg
101,[5],./images/101.jpg
102,[0],./images/102.jpg
103,[5],./images/103.jpg
104,[5],./images/104.jpg
105,[5],./images/105.jpg
106,[0],./images/106.jpg
107,[5],./images/107.jpg
108,[0],./images/108.jpg
109,[0],./images/109.jpg
110,[0],./images/110.jpg
111,[0],./images/111.jpg
112,[5],./images/112.jpg
113,[0],./images/113.jpg
114,[5],./images/114.jpg
115,[5],./images/115.jpg
116,[0],./images/116.jpg
117,[5],./images/117.jpg
118,[1],./images/118.jpg
119,[2],./images/119.jpg
120,[5],./images/120.jpg
121,[9],./images/121.jpg
122,[5],./images/122.jpg
123,[0],./images/123.jpg
124,[8],./images/124.jpg
125,[0],./images/125.jpg
126,[5],./images/126.jpg
127,[0],./images/127.jpg
128,[0],./images/128.jpg
129,[0],./images/129.jpg
130,[5],./images/130.jpg
131,[5],./images/131.jpg
132,[0],./images/132.jpg
133,[0],./images/133.jpg
134,[5],./images/134.jpg
135,[5],./images/135.jpg
136,[0],./images/136.jpg
137,[0],./images/137.jpg
138,[5],./images/138.jpg
139,[0],./images/139.jpg
140,[0],./images/140.jpg
141,[5],./images/141.jpg
142,[0],./images/142.jpg
143,[3],./images/143.jpg
144,[3],./images/144.jpg
145,[2],./images/145.jpg
146,[5],./images/146.jpg
147,[0],./images/147.jpg
148,[0],./images/148.jpg
149,[5],./images/149.jpg
150,[0],./images/150.jpg
151,[3],./images/151.jpg
152,[5],./images/152.jpg
153,[0],./images/153.jpg
154,[0],./images/154.jpg
155,[5],./images/155.jpg
156,[0],./images/156.jpg
157,[2],./images/157.jpg
158,[0],./images/158.jpg
159,[5],./images/159.jpg
160,[5],./images/160.jpg
161,[0],./images/161.jpg
162,[0],./images/162.jpg
163,[5],./images/163.jpg
164,[5],./images/164.jpg
165,[5],./images/165.jpg
166,[0],./images/166.jpg
167,[5],./images/167.jpg
168,[0],./images/168.jpg
169,[5],./images/169.jpg
170,[5],./images/170.jpg
171,[0],./images/171.jpg
172,[5],./images/172.jpg
173,[5],./images/173.jpg
174,[9],./images/174.jpg
175,[0],./images/175.jpg
176,[5],./images/176.jpg
177,[0],./images/177.jpg
178,[2],./images/178.jpg
179,[0],./images/179.jpg
180,[0],./images/180.jpg
181,[0],./images/181.jpg
182,[5],./images/182.jpg
183,[0],./images/183.jpg
184,[3],./images/184.jpg
185,[5],./images/185.jpg
186,[5],./images/186.jpg
187,[5],./images/187.jpg
188,[0],./images/188.jpg
189,[5],./images/189.jpg
190,[0],./images/190.jpg
191,[5],./images/191.jpg
192,[2],./images/192.jpg
193,[8],./images/193.jpg
194,[8],./images/194.jpg
195,[3],./images/195.jpg
196,[5],./images/196.jpg
197,[0],./images/197.jpg
198,[5],./images/198.jpg
199,[5],./images/199.jpg
200,[5],./images/200.jpg
201,[5],./images/201.jpg
202,[5],./images/202.jpg
203,[0],./images/203.jpg
204,[5],./images/204.jpg
205,[5],./images/205.jpg
206,[3],./images/206.jpg
207,[0],./images/207.jpg
208,[3],./images/208.jpg
209,[2],./images/209.jpg
210,[5],./images/210.jpg
211,[0],./images/211.jpg
212,[0],./images/212.jpg
213,[0],./images/213.jpg
214,[5],./images/214.jpg
215,[2],./images/215.jpg
216,[4],./images/216.jpg
217,[0],./images/217.jpg
218,[5],./images/218.jpg
219,[0],./images/219.jpg
220,[5],./images/220.jpg
221,[0],./images/221.jpg
222,[5],./images/222.jpg
223,[0],./images/223.jpg
224,[5],./images/224.jpg
225,[0],./images/225.jpg
226,[5],./images/226.jpg
227,[5],./images/227.jpg
228,[5],./images/228.jpg
229,[5],./images/229.jpg
230,[2],./images/230.jpg
231,[0],./images/231.jpg
232,[0],./images/232.jpg
233,[5],./images/233.jpg
234,[5],./images/234.jpg
235,[0],./images/235.jpg
236,[5],./images/236.jpg
237,[3],./images/237.jpg
238,[5],./images/238.jpg
239,[5],./images/239.jpg
240,[0],./images/240.jpg
241,[5],./images/241.jpg
242,[5],./images/242.jpg
243,[0],./images/243.jpg
244,[5],./images/244.jpg
245,[2],./images/245.jpg
246,[5],./images/246.jpg
247,[5],./images/247.jpg
248,[5],./images/248.jpg
249,[5],./images/249.jpg
250,[5],./images/250.jpg
251,[0],./images/251.jpg
252,[0],./images/252.jpg
253,[5],./images/253.jpg
254,[0],./images/254.jpg
255,[4],./images/255.jpg
256,[5],./images/256.jpg
257,[5],./images/257.jpg
258,[5],./images/258.jpg
259,[0],./images/259.jpg
260,[0],./images/260.jpg
261,[5],./images/261.jpg
262,[0],./images/262.jpg
263,[5],./images/263.jpg
264,[5],./images/264.jpg
265,[0],./images/265.jpg
266,[5],./images/266.jpg
267,[9],./images/267.jpg
268,[5],./images/268.jpg
269,[6],./images/269.jpg
270,[8],./images/270.jpg
271,[0],./images/271.jpg
272,[9],./images/272.jpg
273,[0],./images/273.jpg
274,[5],./images/274.jpg
275,[0],./images/275.jpg
276,[5],./images/276.jpg
277,[5],./images/277.jpg
278,[2],./images/278.jpg
279,[2],./images/279.jpg
280,[0],./images/280.jpg
281,[0],./images/281.jpg
282,[5],./images/282.jpg
283,[0],./images/283.jpg
284,[5],./images/284.jpg
285,[5],./images/285.jpg
286,[0],./images/286.jpg
287,[5],./images/287.jpg
288,[0],./images/288.jpg
289,[3],./images/289.jpg
290,[5],./images/290.jpg
291,[2],./images/291.jpg
292,[5],./images/292.jpg
293,[5],./images/293.jpg
294,[5],./images/294.jpg
295,[5],./images/295.jpg
296,[5],./images/296.jpg
297,[5],./images/297.jpg
298,[0],./images/298.jpg
299,[5],./images/299.jpg
300,[2],./images/300.jpg
301,[0],./images/301.jpg
302,[0],./images/302.jpg
303,[5],./images/303.jpg
304,[5],./images/304.jpg
305,[5],./images/305.jpg
306,[2],./images/306.jpg
307,[5],./images/307.jpg
308,[5],./images/308.jpg
309,[5],./images/309.jpg
